Tournament,Stage,Match Type,Match Name,Team,Action,Map,tournament
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,T1,ban,Split,vct_2023
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,FunPlus Phoenix,pick,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,T1,pick,Bind,vct_2023
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,FunPlus Phoenix,ban,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,T1,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,EDward Gaming,ban,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Paper Rex,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,EDward Gaming,pick,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Paper Rex,pick,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,EDward Gaming,ban,Split,vct_2023
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Paper Rex,ban,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,KRÜ Esports,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,Giants Gaming,ban,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,KRÜ Esports,pick,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,Giants Gaming,pick,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,KRÜ Esports,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,Giants Gaming,ban,Bind,vct_2023
Valorant Champions 2023,Group Stage,Elimination (C),ZETA DIVISION vs NRG Esports,ZETA DIVISION,ban,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Elimination (C),ZETA DIVISION vs NRG Esports,NRG Esports,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Elimination (C),ZETA DIVISION vs NRG Esports,ZETA DIVISION,pick,Bind,vct_2023
Valorant Champions 2023,Group Stage,Elimination (C),ZETA DIVISION vs NRG Esports,NRG Esports,pick,Haven,vct_2023
Valorant Champions 2023,Group Stage,Elimination (C),ZETA DIVISION vs NRG Esports,ZETA DIVISION,ban,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Elimination (C),ZETA DIVISION vs NRG Esports,NRG Esports,ban,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,Natus Vincere,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,LOUD,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,Natus Vincere,pick,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,LOUD,pick,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,Natus Vincere,ban,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Decider (D),Natus Vincere vs LOUD,LOUD,ban,Split,vct_2023
Valorant Champions 2023,Group Stage,Decider (B),FUT Esports vs T1,T1,ban,Split,vct_2023
Valorant Champions 2023,Group Stage,Decider (B),FUT Esports vs T1,FUT Esports,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Decider (B),FUT Esports vs T1,T1,pick,Bind,vct_2023
Valorant Champions 2023,Group Stage,Decider (B),FUT Esports vs T1,FUT Esports,pick,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Decider (B),FUT Esports vs T1,T1,ban,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Decider (B),FUT Esports vs T1,FUT Esports,ban,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,Giants Gaming,ban,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,EDward Gaming,ban,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,Giants Gaming,pick,Split,vct_2023
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,EDward Gaming,pick,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,Giants Gaming,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Decider (A),EDward Gaming vs Giants Gaming,EDward Gaming,ban,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,NRG Esports,ban,Split,vct_2023
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,Bilibili Gaming,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,NRG Esports,pick,Bind,vct_2023
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,Bilibili Gaming,pick,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,NRG Esports,ban,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Decider (C),Bilibili Gaming vs NRG Esports,Bilibili Gaming,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,LOUD,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,FNATIC,ban,Pearl,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,LOUD,pick,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,FNATIC,pick,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,LOUD,ban,Bind,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,FNATIC vs LOUD,FNATIC,ban,Haven,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,FUT Esports,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,Paper Rex,ban,Haven,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,FUT Esports,pick,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,Paper Rex,pick,Pearl,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,FUT Esports,ban,Bind,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Paper Rex vs FUT Esports,Paper Rex,ban,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,Bilibili Gaming,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,DRX,ban,Bind,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,Bilibili Gaming,pick,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,DRX,pick,Haven,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,Bilibili Gaming,ban,Split,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,DRX,ban,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,EDward Gaming,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Evil Geniuses,ban,Haven,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,EDward Gaming,pick,Split,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Evil Geniuses,pick,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,EDward Gaming,ban,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Evil Geniuses,ban,Bind,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,FNATIC,ban,Pearl,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,FUT Esports,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,FNATIC,pick,Split,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,FUT Esports,pick,Haven,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,FNATIC,ban,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,FUT Esports,ban,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Bilibili Gaming,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,EDward Gaming,ban,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Bilibili Gaming,pick,Bind,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,EDward Gaming,pick,Split,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Bilibili Gaming,ban,Pearl,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,EDward Gaming,ban,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,LOUD,ban,Fracture,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Paper Rex,ban,Haven,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,LOUD,pick,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Paper Rex,pick,Split,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,LOUD,ban,Bind,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Paper Rex,ban,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,Evil Geniuses,ban,Haven,vct_2023
