Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration,tournament
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,Lotus,DRX,13,2,11,,Bilibili Gaming,10,0,10,,1:04:41,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,DRX vs Bilibili Gaming,Haven,DRX,13,7,6,,Bilibili Gaming,9,4,5,,48:59,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Split,Evil Geniuses,12,4,8,0.0,EDward Gaming,14,4,8,2.0,1:13:52,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Ascent,Evil Geniuses,13,8,5,,EDward Gaming,5,1,4,,42:56,vct_2023
Valorant Champions 2023,Playoffs,Upper Quarterfinals,Evil Geniuses vs EDward Gaming,Pearl,Evil Geniuses,13,8,5,,EDward Gaming,5,1,4,,41:13,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,Split,FNATIC,13,10,3,,FUT Esports,5,3,2,,55:48,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,FNATIC vs FUT Esports,Haven,FNATIC,13,5,8,,FUT Esports,9,2,7,,47:46,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Bind,Bilibili Gaming,4,2,2,,EDward Gaming,13,3,10,,46:24,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Split,Bilibili Gaming,15,8,4,3.0,EDward Gaming,13,8,4,1.0,1:03:07,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 1,Bilibili Gaming vs EDward Gaming,Haven,Bilibili Gaming,10,6,4,,EDward Gaming,13,7,6,,48:16,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Lotus,LOUD,13,7,5,1.0,Paper Rex,15,7,5,3.0,1:17:41,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Split,LOUD,13,10,3,,Paper Rex,2,0,2,,33:43,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,LOUD vs Paper Rex,Pearl,LOUD,10,5,5,,Paper Rex,13,6,7,,54:17,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,Fracture,DRX,9,4,5,,Evil Geniuses,13,5,8,,1:02:57,vct_2023
Valorant Champions 2023,Playoffs,Upper Semifinals,DRX vs Evil Geniuses,Lotus,DRX,4,2,2,,Evil Geniuses,13,3,10,,36:28,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,Bind,LOUD,11,6,5,,EDward Gaming,13,7,6,,1:13:21,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,Ascent,LOUD,13,8,5,,EDward Gaming,5,1,4,,40:33,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,LOUD vs EDward Gaming,Haven,LOUD,13,6,7,,EDward Gaming,11,5,6,,49:54,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,Bind,DRX,13,11,2,,FNATIC,1,0,1,,43:48,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,Haven,DRX,9,6,3,,FNATIC,13,7,6,,52:41,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 2,DRX vs FNATIC,Split,DRX,6,5,1,,FNATIC,13,6,7,,45:26,vct_2023
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Ascent,Paper Rex,10,7,3,,Evil Geniuses,13,8,5,,1:11:31,vct_2023
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Bind,Paper Rex,13,5,8,,Evil Geniuses,9,2,7,,48:25,vct_2023
Valorant Champions 2023,Playoffs,Upper Final,Paper Rex vs Evil Geniuses,Pearl,Paper Rex,15,6,6,3.0,Evil Geniuses,13,6,6,1.0,1:06:45,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,Split,FNATIC,4,4,0,,LOUD,13,5,8,,1:13:00,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,Ascent,FNATIC,13,5,8,,LOUD,9,2,7,,57:42,vct_2023
Valorant Champions 2023,Playoffs,Lower Round 3,FNATIC vs LOUD,Haven,FNATIC,7,4,3,,LOUD,13,5,8,,48:59,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Ascent,Evil Geniuses,14,7,5,2.0,LOUD,12,7,5,0.0,1:24:07,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Lotus,Evil Geniuses,13,10,3,,LOUD,4,2,2,,44:07,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Pearl,Evil Geniuses,8,3,5,,LOUD,13,4,9,,51:03,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Split,Evil Geniuses,7,3,4,,LOUD,13,4,9,,49:19,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Bind,Evil Geniuses,13,7,6,,LOUD,8,3,5,,49:42,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Split,Paper Rex,10,8,2,,Evil Geniuses,13,9,4,,54:56,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Ascent,Paper Rex,13,7,6,,Evil Geniuses,11,6,5,,56:54,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Bind,Paper Rex,5,3,2,,Evil Geniuses,13,4,9,,41:55,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Lotus,Paper Rex,10,7,3,,Evil Geniuses,13,8,5,,52:22,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,MIBR vs KRÜ Esports,Bind,MIBR,7,3,4,,KRÜ Esports,13,4,9,,1:02:20,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,MIBR vs KRÜ Esports,Lotus,MIBR,8,3,5,,KRÜ Esports,13,4,9,,54:27,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,Split,FURIA,14,7,5,2.0,KRÜ Esports,12,7,5,0.0,1:20:36,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,Ascent,FURIA,4,3,1,,KRÜ Esports,13,4,9,,39:27,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,Bind,FURIA,11,7,4,,KRÜ Esports,13,8,5,,1:02:00,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Pearl,Sentinels,12,9,3,0.0,100 Thieves,14,9,3,2.0,1:10:41,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Split,Sentinels,13,5,8,,100 Thieves,7,0,7,,48:52,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Bind,Sentinels,13,10,3,,100 Thieves,7,5,2,,51:59,vct_2023
