Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result,tournament
VCT 2025: Americas Stage 1,Group Stage,Week 3,G2 Esports vs NRG,G2 Esports,Mega Minors,2,0,G2 Esports won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,FURIA,LEVIATÁN,0,2,LEVIATÁN won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,Cloud9,MIBR,1,2,MIBR won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 4,100 Thieves vs 2Game Esports,100 Thieves,2Game Esports,2,0,100 Thieves won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,G2 Esports,LEVIATÁN,2,1,G2 Esports won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 4,FURIA vs Cloud9,FURIA,Cloud9,0,2,Cloud9 won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,Sentinels,LOUD,2,1,Sentinels won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs Evil Geniuses,KRÜ Esports,Evil Geniuses,0,2,Evil Geniuses won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 4,NRG vs MIBR,Mega Minors,MIBR,0,2,MIBR won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,G2 Esports,Cloud9,2,1,G2 Esports won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,MIBR,FURIA,2,1,MIBR won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 5,Sentinels vs 2Game Esports,Sentinels,2Game Esports,2,0,Sentinels won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,KRÜ Esports,100 Thieves,2,0,KRÜ Esports won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Evil Geniuses,LOUD,2,1,Evil Geniuses won,vct_2025
VCT 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,LEVIATÁN,Mega Minors,0,2,NRG won,vct_2025
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,MIBR,100 Thieves,2,0,MIBR won,vct_2025
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Sentinels,Cloud9,2,0,Sentinels won,vct_2025
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,100 Thieves,Mega Minors,2,0,100 Thieves won,vct_2025
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Cloud9 vs Evil Geniuses,Cloud9,Evil Geniuses,0,2,Evil Geniuses won,vct_2025
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs MIBR,KRÜ Esports,MIBR,0,2,MIBR won,vct_2025
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,G2 Esports,Sentinels,1,2,Sentinels won,vct_2025
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,KRÜ Esports,Evil Geniuses,0,2,Evil Geniuses won,vct_2025
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,G2 Esports,100 Thieves,2,1,G2 Esports won,vct_2025
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,MIBR,Sentinels,0,2,Sentinels won,vct_2025
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,G2 Esports,Evil Geniuses,2,1,G2 Esports won,vct_2025
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,MIBR,G2 Esports,1,3,G2 Esports won,vct_2025
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Sentinels,G2 Esports,1,3,G2 Esports won,vct_2025
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,EDward Gaming vs Team Liquid,EDward Gaming,Team Liquid,2,0,EDward Gaming won,vct_2025
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,DRX vs Sentinels,DRX,Sentinels,2,0,DRX won,vct_2025
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Team Vitality vs T1,Team Vitality,T1,2,0,Team Vitality won,vct_2025
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,G2 Esports vs Trace Esports,G2 Esports,Trace Esports,2,0,G2 Esports won,vct_2025
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,DRX,Team Vitality,1,2,Team Vitality won,vct_2025
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,EDward Gaming,G2 Esports,2,1,EDward Gaming won,vct_2025
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,T1,Trace Esports,2,0,T1 won,vct_2025
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Team Liquid,Sentinels,2,1,Team Liquid won,vct_2025
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,T1 vs DRX,T1,DRX,2,0,T1 won,vct_2025
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,G2 Esports vs Team Liquid,G2 Esports,Team Liquid,2,0,G2 Esports won,vct_2025
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,EDward Gaming,T1,2,1,EDward Gaming won,vct_2025
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Team Vitality vs G2 Esports,Team Vitality,G2 Esports,0,2,G2 Esports won,vct_2025
Valorant Masters Bangkok 2025,Playoffs,Upper Final,EDward Gaming vs G2 Esports,EDward Gaming,G2 Esports,0,2,G2 Esports won,vct_2025
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,T1,Team Vitality,2,1,T1 won,vct_2025
Valorant Masters Bangkok 2025,Playoffs,Lower Final,EDward Gaming vs T1,EDward Gaming,T1,1,3,T1 won,vct_2025
Valorant Masters Bangkok 2025,Showmatch,Main Event,Team International vs Team Thailand,Team International,Team Thailand,9,13,Team Thailand won,vct_2025
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,G2 Esports,T1,2,3,T1 won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,BBL Esports,GIANTX,2,1,BBL Esports won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Karmine Corp,Natus Vincere,2,1,Karmine Corp won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Team Liquid,KOI,2,1,Team Liquid won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Apeks,Gentle Mates,0,2,Gentle Mates won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,FNATIC,BBL Esports,1,2,BBL Esports won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Team Vitality,Karmine Corp,2,1,Team Vitality won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,FUT Esports,Team Liquid,2,0,FUT Esports won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Team Heretics,Gentle Mates,2,1,Team Heretics won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Karmine Corp,GIANTX,1,2,GIANTX won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,FNATIC vs Natus Vincere,FNATIC,Natus Vincere,2,1,FNATIC won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Team Liquid,Apeks,2,1,Team Liquid won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Gentle Mates,KOI,2,1,Gentle Mates won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,BBL Esports vs Team Heretics,BBL Esports,Team Heretics,0,2,Team Heretics won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,FUT Esports vs Team Vitality,FUT Esports,Team Vitality,0,2,Team Vitality won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Gentle Mates vs FNATIC,Gentle Mates,FNATIC,0,2,FNATIC won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,GIANTX vs Team Liquid,GIANTX,Team Liquid,0,2,Team Liquid won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,FUT Esports vs FNATIC,FUT Esports,FNATIC,2,0,FUT Esports won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,BBL Esports vs Team Liquid,BBL Esports,Team Liquid,1,2,Team Liquid won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,Team Vitality,Team Heretics,2,0,Team Vitality won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,FUT Esports,Team Liquid,1,2,Team Liquid won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Team Heretics vs Team Liquid,Team Heretics,Team Liquid,0,3,Team Liquid won,vct_2025
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Team Vitality,Team Liquid,3,2,Team Vitality won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,BOOM Esports,T1,1,2,T1 won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs Nongshim RedForce,ZETA DIVISION,Nongshim RedForce,0,2,Nongshim RedForce won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,Global Esports,Team Secret,2,1,Global Esports won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,DetonatioN FocusMe,Rex Regum Qeon,1,2,Rex Regum Qeon won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,DRX,Nongshim RedForce,2,1,DRX won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Paper Rex,T1,1,2,T1 won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,TALON vs Global Esports,TALON,Global Esports,2,1,TALON won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Gen.G vs Rex Regum Qeon,Gen.G,Rex Regum Qeon,2,1,Gen.G won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Nongshim RedForce vs BOOM Esports,Nongshim RedForce,BOOM Esports,2,1,Nongshim RedForce won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Paper Rex vs ZETA DIVISION,Paper Rex,ZETA DIVISION,2,0,Paper Rex won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,Rex Regum Qeon,Team Secret,2,1,Rex Regum Qeon won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Global Esports vs DetonatioN FocusMe,Global Esports,DetonatioN FocusMe,0,2,DetonatioN FocusMe won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,T1 vs TALON,T1,TALON,2,1,T1 won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,Gen.G vs DRX,Gen.G,DRX,0,2,DRX won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,Nongshim RedForce,Rex Regum Qeon,2,1,Nongshim RedForce won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,DetonatioN FocusMe vs Paper Rex,DetonatioN FocusMe,Paper Rex,2,0,DetonatioN FocusMe won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,TALON,Nongshim RedForce,2,1,TALON won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Gen.G vs DetonatioN FocusMe,Gen.G,DetonatioN FocusMe,2,0,Gen.G won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,T1,DRX,1,2,DRX won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,TALON vs Gen.G,TALON,Gen.G,0,2,Gen.G won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,T1,Gen.G,3,2,T1 won,vct_2025
VCT 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,DRX,T1,3,2,DRX won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Evil Geniuses vs LOUD,Evil Geniuses,LOUD,0,2,LOUD won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,MIBR vs 100 Thieves,MIBR,100 Thieves,0,2,100 Thieves won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,2Game Esports vs FURIA,2Game Esports,FURIA,0,2,FURIA won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,NRG vs Cloud9,Mega Minors,Cloud9,0,2,Cloud9 won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,KRÜ Esports vs LOUD,KRÜ Esports,LOUD,0,2,LOUD won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Sentinels,100 Thieves,2,1,Sentinels won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,LEVIATÁN vs FURIA,LEVIATÁN,FURIA,2,0,LEVIATÁN won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,G2 Esports vs Cloud9,G2 Esports,Cloud9,2,0,G2 Esports won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,FURIA vs Evil Geniuses,FURIA,Evil Geniuses,0,2,Evil Geniuses won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Cloud9 vs MIBR,Cloud9,MIBR,1,2,MIBR won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs 2Game Esports,KRÜ Esports,2Game Esports,2,0,KRÜ Esports won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,100 Thieves vs NRG,100 Thieves,Mega Minors,1,2,NRG won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,LOUD vs Sentinels,LOUD,Sentinels,1,2,Sentinels won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,G2 Esports vs LEVIATÁN,G2 Esports,LEVIATÁN,2,0,G2 Esports won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,Evil Geniuses vs MIBR,Evil Geniuses,MIBR,0,2,MIBR won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,NRG vs KRÜ Esports,Mega Minors,KRÜ Esports,1,2,KRÜ Esports won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LEVIATÁN vs MIBR,LEVIATÁN,MIBR,1,2,MIBR won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LOUD vs KRÜ Esports,LOUD,KRÜ Esports,0,2,KRÜ Esports won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Upper Final,Sentinels vs G2 Esports,Sentinels,G2 Esports,0,2,G2 Esports won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,MIBR vs KRÜ Esports,MIBR,KRÜ Esports,2,1,MIBR won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Lower Final,Sentinels vs MIBR,Sentinels,MIBR,3,1,Sentinels won,vct_2025
VCT 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,G2 Esports,Sentinels,3,2,G2 Esports won,vct_2025
VCT 2025: China Kickoff,Main Event,Upper Round 1,TYLOO vs Titan Esports Club,TYLOO,Titan Esports Club,0,2,Titan Esports Club won,vct_2025
VCT 2025: China Kickoff,Main Event,Upper Round 1,Xi Lai Gaming vs Wolves Esports,Xi Lai Gaming,Wolves Esports,2,0,Xi Lai Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Upper Round 1,JDG Esports vs Dragon Ranger Gaming,JDG Esports,Dragon Ranger Gaming,1,2,Dragon Ranger Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Upper Round 1,All Gamers vs Nova Esports,All Gamers,Nova Esports,0,2,Nova Esports won,vct_2025
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,FunPlus Phoenix vs Titan Esports Club,FunPlus Phoenix,Titan Esports Club,2,1,FunPlus Phoenix won,vct_2025
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Bilibili Gaming vs Xi Lai Gaming,Bilibili Gaming,Xi Lai Gaming,2,1,Bilibili Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Trace Esports vs Dragon Ranger Gaming,Trace Esports,Dragon Ranger Gaming,2,0,Trace Esports won,vct_2025
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,EDward Gaming vs Nova Esports,EDward Gaming,Nova Esports,2,0,EDward Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Lower Round 1,Titan Esports Club vs JDG Esports,Titan Esports Club,JDG Esports,0,2,JDG Esports won,vct_2025
VCT 2025: China Kickoff,Main Event,Lower Round 1,Xi Lai Gaming vs All Gamers,Xi Lai Gaming,All Gamers,2,1,Xi Lai Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Lower Round 1,Dragon Ranger Gaming vs TYLOO,Dragon Ranger Gaming,TYLOO,2,0,Dragon Ranger Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Lower Round 1,Nova Esports vs Wolves Esports,Nova Esports,Wolves Esports,2,1,Nova Esports won,vct_2025
VCT 2025: China Kickoff,Main Event,Upper Semifinals,Bilibili Gaming vs FunPlus Phoenix,Bilibili Gaming,FunPlus Phoenix,2,0,Bilibili Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Upper Semifinals,Trace Esports vs EDward Gaming,Trace Esports,EDward Gaming,2,0,Trace Esports won,vct_2025
VCT 2025: China Kickoff,Main Event,Lower Round 2,Nova Esports vs Dragon Ranger Gaming,Nova Esports,Dragon Ranger Gaming,0,2,Dragon Ranger Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Lower Round 2,JDG Esports vs Xi Lai Gaming,JDG Esports,Xi Lai Gaming,1,2,Xi Lai Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Lower Round 3,FunPlus Phoenix vs Dragon Ranger Gaming,FunPlus Phoenix,Dragon Ranger Gaming,1,2,Dragon Ranger Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Lower Round 3,EDward Gaming vs Xi Lai Gaming,EDward Gaming,Xi Lai Gaming,2,1,EDward Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Upper Final,Bilibili Gaming vs Trace Esports,Bilibili Gaming,Trace Esports,1,2,Trace Esports won,vct_2025
VCT 2025: China Kickoff,Main Event,Lower Round 4,Dragon Ranger Gaming vs EDward Gaming,Dragon Ranger Gaming,EDward Gaming,0,2,EDward Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Lower Final,Bilibili Gaming vs EDward Gaming,Bilibili Gaming,EDward Gaming,0,3,EDward Gaming won,vct_2025
VCT 2025: China Kickoff,Main Event,Grand Final,Trace Esports vs EDward Gaming,Trace Esports,EDward Gaming,1,3,EDward Gaming won,vct_2025
