Tournament,Stage,Match Type,Match Name,Map,tournament
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Lotus,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Pearl,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Split,vct_2023
Valorant Champions 2023,Playoffs,Lower Final,Evil Geniuses vs LOUD,Bind,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Split,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Ascent,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Bind,vct_2023
Valorant Champions 2023,Playoffs,Grand Final,Paper Rex vs Evil Geniuses,Lotus,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,MIBR vs KRÜ Esports,Bind,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Round 1,MIBR vs KRÜ Esports,Lotus,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,Split,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,Ascent,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,FURIA vs KRÜ Esports,Bind,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Pearl,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Split,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Bind,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Cloud9 vs Sentinels,Pearl,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,Main Event,Upper Semifinals,Cloud9 vs Sentinels,Fracture,vct_2023
