Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID,tournament
Valorant Champions 2023,1657,Playoffs,3264,Grand Final,Paper Rex vs Evil Geniuses,248277,Bind,137641,vct_2023
Valorant Champions 2023,1657,Playoffs,3264,Grand Final,Paper Rex vs Evil Geniuses,248277,Lotus,137642,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Round 1,MIBR vs KRÜ Esports,232729,Bind,134548,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Round 1,MIBR vs KRÜ Esports,232729,Lotus,134549,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Quarterfinals,FURIA vs KRÜ Esports,232731,Split,134554,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Quarterfinals,FURIA vs KRÜ Esports,232731,Ascent,134555,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Quarterfinals,FURIA vs KRÜ Esports,232731,Bind,134556,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Quarterfinals,Sentinels vs 100 Thieves,232730,Pearl,134551,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Quarterfinals,Sentinels vs 100 Thieves,232730,Split,134552,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Quarterfinals,Sentinels vs 100 Thieves,232730,Bind,134553,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Semifinals,Cloud9 vs Sentinels,232732,Pearl,134557,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Semifinals,Cloud9 vs Sentinels,232732,Fracture,134558,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Semifinals,Cloud9 vs Sentinels,232732,Split,134559,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Semifinals,LEVIATÁN vs KRÜ Esports,232733,Split,134560,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Semifinals,LEVIATÁN vs KRÜ Esports,232733,Lotus,134561,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Final,Cloud9 vs KRÜ Esports,232734,Ascent,134563,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Final,Cloud9 vs KRÜ Esports,232734,Pearl,134564,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Final,Cloud9 vs KRÜ Esports,232734,Haven,134565,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Lower Round 1,Sentinels vs LEVIATÁN,232736,Fracture,134571,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Lower Round 1,Sentinels vs LEVIATÁN,232736,Split,134572,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Lower Final,Cloud9 vs LEVIATÁN,232737,Lotus,134574,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Lower Final,Cloud9 vs LEVIATÁN,232737,Pearl,134575,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Lower Final,Cloud9 vs LEVIATÁN,232737,Split,134576,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Lower Final,Cloud9 vs LEVIATÁN,232737,Haven,134577,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Lower Final,Cloud9 vs LEVIATÁN,232737,Bind,134578,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Grand Final,KRÜ Esports vs LEVIATÁN,232735,Split,134566,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Grand Final,KRÜ Esports vs LEVIATÁN,232735,Pearl,134567,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Grand Final,KRÜ Esports vs LEVIATÁN,232735,Ascent,134568,vct_2023
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Grand Final,KRÜ Esports vs LEVIATÁN,232735,Lotus,134569,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Knockout Round,Team Heretics vs KOI,235363,Fracture,135070,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Knockout Round,Team Heretics vs KOI,235363,Pearl,135071,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Knockout Round,Team Heretics vs KOI,235363,Haven,135072,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Knockout Round,BBL Esports vs Karmine Corp,235364,Haven,135073,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Knockout Round,BBL Esports vs Karmine Corp,235364,Lotus,135074,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Knockout Round,BBL Esports vs Karmine Corp,235364,Bind,135075,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Upper Semifinals,Natus Vincere vs KOI,235365,Split,135076,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Upper Semifinals,Natus Vincere vs KOI,235365,Lotus,135077,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Upper Semifinals,Giants Gaming vs Karmine Corp,235366,Pearl,135079,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Upper Semifinals,Giants Gaming vs Karmine Corp,235366,Split,135080,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Upper Final,KOI vs Giants Gaming,235367,Haven,135082,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Upper Final,KOI vs Giants Gaming,235367,Pearl,135083,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Lower Round 1,Natus Vincere vs Karmine Corp,235371,Lotus,135096,vct_2023
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Lower Round 1,Natus Vincere vs Karmine Corp,235371,Ascent,135097,vct_2023
