Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Lower Round 1,KRÜ Esports vs 100 Thieves,371272,Icebox,178839
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Lower Round 1,KRÜ Esports vs 100 Thieves,371272,Lotus,178840
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Lower Round 1,KRÜ Esports vs 100 Thieves,371272,Ascent,178841
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Lower Final,LEVIATÁN vs KRÜ Esports,371273,Icebox,178842
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Lower Final,LEVIATÁN vs KRÜ Esports,371273,Haven,178843
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Lower Final,LEVIATÁN vs KRÜ Esports,371273,Sunset,178844
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Lower Final,LEVIATÁN vs KRÜ Esports,371273,Abyss,178845
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Lower Final,LEVIATÁN vs KRÜ Esports,371273,Ascent,178846
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Grand Final,G2 Esports vs LEVIATÁN,371271,Lotus,178834
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Grand Final,G2 Esports vs LEVIATÁN,371271,Haven,178835
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Grand Final,G2 Esports vs LEVIATÁN,371271,Bind,178836
Champions Tour 2024: Americas Stage 2,2095,Playoffs,4032,Grand Final,G2 Esports vs LEVIATÁN,371271,Ascent,178837
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 1,Titan Esports Club vs JDG Esports,359603,Icebox,174900
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 1,Titan Esports Club vs JDG Esports,359603,Lotus,174901
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 1,All Gamers vs TYLOO,359604,Sunset,174903
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 1,All Gamers vs TYLOO,359604,Icebox,174904
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 1,Bilibili Gaming vs Wolves Esports,359605,Sunset,174906
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 1,Bilibili Gaming vs Wolves Esports,359605,Bind,174907
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,Dragon Ranger Gaming vs Nova Esports,359606,Ascent,174909
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,Dragon Ranger Gaming vs Nova Esports,359606,Lotus,174910
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,Dragon Ranger Gaming vs Nova Esports,359606,Sunset,174911
Champions Tour 2024: China Stage 2,2096,Regular Season,4033,Week 2,FunPlus Phoenix vs Trace Esports,359607,Haven,174912
